Title,Date
8 جرحى في اصطدام تسلسلي لثلاث مركبات بالجلفة,01 أفريل
جيجل.. إنقاذ شخصين من الموت اختناقا بالغاز,01 أفريل
البويرة.. تسمم 4 أشخاص بالغاز,01 أفريل
إصابة 6 أشخاص في حادث مرور بتيزي وزو,01 أفريل
قسنطينة.. وفاة أربعيني اختناقا بالغاز السام,01 أفريل
رياح قوية وزوابع رملية على هذه الولايات,01 أفريل
العاصمة.. وفاة شخص دهسته سيارة ببئر توتة,31 مارس
جيجل.. إصابة 7 أشخاص في اصطدام بين سيارتين بالطاهير,31 مارس
وهران.. 8 جرحى في حادث انقلاب سيارة نقل جماعي ببطيوة,31 مارس
الأغواط.. قتيل و3 جرحى في حادث انقلاب سيارة,31 مارس
سيدي بلعباس.. 4 جرحى في حادث انقلاب سيارة,31 مارس
البويرة.. 5 جرحى في اصطدام تسلسلي بين 3 سيارات,31 مارس
تيبازة : وفاة شاب بصعقة كهربائية أثناء أشغال البناء,31 مارس
تدخلات عاجلة.. فتح الطرقات وإزالة الأوحال في جيجل وبجاية,31 مارس
فاجعة.. وفاة 3 أشخاص إختناقا بالغاز بأم البواقي,31 مارس
5 جرحى في حادث مرور بباتنة,31 مارس
بجاية.. وفاة ثلاثيني في حادث مرور بطريق أنفاق خراطة,30 مارس
سطيف.. قتيل و8 جرحى في اصطدام بين سيارتين,30 مارس
توقيف أحد أفراد عصابة مختصة سرقة المواشي سطت على 80 رأسا بمنطقة الوسط,30 مارس
"عصابة ملثمة تستدرج ضحاياها عبر الفايسبوك لشراء ""شوكولاطة دبي"" بغرض الإعتداء والسرقة",30 مارس
توقيف مروّج المؤثرات العقلية وحجز 1783 كبسولة مهيّأة للترويج بعد صلاة التروايح,30 مارس
مستغانم: تفكيك شبكة مختصة في ترويج المخدرات والمؤثرات العقلية,30 مارس
الإطاحة بشبكة إجرامية مختصة في الإتجار بالمخدرات في العاصمة,30 مارس
"عين تموشنت: الحبس لمتهم ينشط ضمن عصابة منظمة وحجز 96 كلغ من ""الزطلة""",30 مارس
إحباط تهريب 3000 وحدة شحن للهواتف النقالة و500 علبة تغليف,30 مارس
أم البواقي: إسترجاع 47 رأسا من الماشية في ظرف قياسي,30 مارس
جيجل.. الطريق الولائي رقم 137أ مغلق بسبب انجراف التربة,30 مارس
4 جرحى في حادث مرور بسطيف,30 مارس
رياح قوية وزوابع رملية عبر هذه الولايات اليوم,30 مارس
توقف مؤقت لرحلات قطار الجزائر-تونس بداية من اليوم,30 مارس
وفاة عشرينية في حادث دهس بباتنة,30 مارس
البليدة.. تسمم 6 أشخاص بغاز أحادي أكسيد الكربون,30 مارس
3 أسود تهاجم حارسا بحديقة الحيوانات وتفترسه في المنصورة بتلمسان,30 مارس
قسنطينة.. جريح في حادث انقلاب سيارة بأولاد رحمون,29 مارس
سطيف..شاب يقـتـل أخته ويدخل أمه الإنعاش ويعتدي على والده,29 مارس
شرطة العاصمة توقف شخصين وتحجز 3 كلغ كيف,29 مارس
العاصمة: إندلاع حريق في حافلة لنقل المسافرين بالدويرة,29 مارس
برنامج خاص بسير قطارات ضاحية الجزائر خلال أول أيام العيد,29 مارس
مجلس قضاء البويرة.. 213 متّهما أمام محكمة الجنايات الاستئنافية قريبا,29 مارس
وفاة 4 أشخاص في حادث مرور بتمنراست,29 مارس
وفاة أربعيني في انقلاب سيارة بقالمة,29 مارس
رياح هوجاء تضرب هذه الولايات اليوم,29 مارس
إصابة 4 أشخاص في حادث مرور بالبويرة,29 مارس
تتعدى 70 ملم.. أمطار غزيرة على هذه الولايات اليوم,29 مارس
سطيف.. أب يقتل ابنه بالخطأ في شجار بعين أرنات,29 مارس
تبسة.. إخماد حريق بمنجم حديد الشرق في بوخضرة,29 مارس
العاصمة .. وفاة امرأة سقطت من الطابق الـ11 بحي عدل 1 في باب الزوار,28 مارس
أدرار: تفكيك شبكة إجرامية وحجز كمية معتبرة من المخدرات والمؤثرات العقلية,28 مارس
عنابة: الإطاحة بشبكة مختصة في سرقة المركبات,28 مارس
سطيف.. انفجار للغاز في شقة يخلّف 4 مصابين,28 مارس
وزير الثقافة والفنون ينقل تعازي رئيس الجمهورية إلى عائلة المرحوم حمزة فيغولي بتيارت,28 مارس
البليدة: الإطاحة بشبكة إجرامية منظمة تتاجر في المخدرات,28 مارس
تسمم 3 أشخاص بالغاز في سطيف,28 مارس
تبسة: إحباط محاولة تهريب كمية معتبرة من المواد الغذائية المدعمة,28 مارس
مستغانم: حجز بضائع متنوعة قادمة من إسبانيا,28 مارس
تسمم 4 أشخاص بالغاز في سوق أهراس,28 مارس
وفاة إمرأة سقطت من الطابق الثاني بتلمسان,28 مارس
3 ضحايا في إنفجار للغاز بباتنة,28 مارس
الشلف: إتلاف كمية من المعسلات والحلوى التقليدية كانت تحضّر في ظروف كارثية,28 مارس
الجلفة.. إخماد حريق بمؤسسة لإعادة رسكلة العجلات المطاطية,28 مارس
الجلفة: 3 جرحى في حادث انحراف سيارة بالبويقلة في قطارة,28 مارس
ميناء بجاية: ضبط كمية معتبرة من الكوكايين والإكستازي وتوقيف شخصين,27 مارس
تيارت ..توقيف شخصين وضبط أكثر من 9 كلغ من الكيف,27 مارس
المدية: توقيف شخصين وحجز 9 آلاف قرص مهلوس,27 مارس
باتنة: حجز 40.7 قنطار من مسحوق الحليب الموجه لإنتاج الحليب المدعم,27 مارس
إيداع 4 أشخاص الحبس وحجز 42 كلغ كوكايين بوهران,27 مارس
توقيف قاتل الأستاذ الجامعي ببراقي وإيداعه الحبس,27 مارس
تبسة: إعادة فتح أسواق المواشي.. هذه الشروط,27 مارس
قتيل و7 جرحى في حادث مرور بسطيف,27 مارس
سطيف: إكتشاف ورشة سرية لتذويب وتدوير الأسلاك النحاسية المسروقة باولاد صابر,27 مارس
أمطار رعدية غزيرة على هذه الولايات,27 مارس
تيسمسيلت..تسمم 8 أشخاص بالغاز,27 مارس
وفاة 4 أشخاص في حادث مرور  خطير بولاية تندوف,27 مارس
رعود وزوابع رملية  على هذه الولايات,27 مارس
الجلفة.. 4 جرحى في حادث اصطدام دراجتين بحاسي بحبح,27 مارس
تبسة.. وفاة شاب في انحراف وانقلاب سيارة,27 مارس
تيارت.. وفاة شاب وإصابة آخر في اصطدام سيارة بدراجة نارية,27 مارس
عنابة.. توقيف شخصين وحجز أزيد من 1 كلغ كوكايين,26 مارس
سوق أهراس.. حجز أزيد من 4 كلغ من القنب الهندي وتوقيف مشتبه فيه,26 مارس
البليدة .. وفاة شيخ وإصابة آخر في انحراف دراجة نارية,26 مارس
الإطاحة بعصابة من 11 شخصا زرعت الرعب بقرية البواعيش في سيدي بلعباس,26 مارس
المسيلة: إصابة 5 أشخاص بينهم رضيع في حادث مرور ببلدية ولتام,26 مارس
أم البواقي: إنطلاق تموين السوق بالموز المحجوز بسعر 260 دج,26 مارس
محاكمة غيابية لمسيّر صفحة للبيع الإلكتروني سلب فتاة 4.5 مليون سنتيم,26 مارس
منظفة تستولي على 3 ملايير سنتيم من المجوهرات الذهبية من مسكن طبيبة بالعاصمة,26 مارس
درك أم البواقي يفكّك شبكة تمتهن التنقيب والحفر عن الآثار بدون رخصة,26 مارس
توقيف تحفظي لرئيس بلدية وادي الماء بباتنة,26 مارس
الدرك يلقي القبض على مجرم ببئر العرش ويوجه نداء للجمهور,26 مارس
"مستغانم: حجز 10 قناطير من ""قلب اللوز"" غير صالح للإستهلاك",26 مارس
قتيلان و4 جرحى في حادث مرور بتيارت,26 مارس
عون جمركي مهدّد بالحبس لعدم جمركة سيارة محل إرسالية معبّأة بالمفرقعات والفضة,26 مارس
إنتشال جثة طفل غرق في حوض مائي بسطيف,26 مارس
المغير: الإطاحة بشبكة نقل وتهريب المهلوسات وتوقيف 5 أشخاص,26 مارس
الوادي: تصدير 20 طن من الطماطم الطازجة إلى فرنسا,26 مارس
افتتاح مكاتب صرف جديدة بمطار أحمد بن بلة والمحطة البحرية بوهران,26 مارس
عين الدفلى.. ضبط قرابة 6.5 قنطار من الموز الفاسد,26 مارس
استدرج ضحاياه وسرق معاشاتهم..الشرطة توقف الفاعل وتسترجع أكثر من 8 ألاف أورو,26 مارس
وفاة 4 أشخاص في حوادث مرور خلال الـ 24 ساعة الأخيرة,26 مارس
الحماية المدنية: لا خسائر بشرية في حريق مستشفى محمد بوضياف بأم البواقي,26 مارس
أم البواقي.. اندلاع حريق مهول بمستشفى محمد بوضياف,26 مارس
قتيل و4 جرحى في حادث مرور بالبليدة,26 مارس
أمطار رعدية غزيرة تتعدى 50 ملم بهذه الولايات اليوم,26 مارس
سوق أهراس.. 3 جرحى في حادث انحراف وانقلاب سيارة وسقوطها في منحدر,26 مارس
العاصمة.. مقتل أستاذ جامعي بطعنات خنجر في براقي,26 مارس
غليزان.. الدرك يطيح بشبكة دولية مختصة في المتاجرة بالمخدرات,26 مارس
الدرك يحجز كتبا للأطفال تتضمن صورا إباحية ورموزا ماسونية بمكتبة في وهران,25 مارس
غليزان .. نفوق 14 رأس ماشية بعد فيضان واد بوطال بـ واريزان,25 مارس
عنابة.. إصابة 3 أشخاص في حريق شقة,25 مارس
عنابة.. توقيف سائق قام بمناورة خطيرة عبر الطريق الساحلي,25 مارس
"بعد توقف لـ8 سنوات.. إعادة إطلاق رحلات خط ""قسنطينة - الجزائر - قسنطينة""",25 مارس
حجز 53 كلغ من المخدرات وتوقيف شخص بتلمسان,25 مارس
"تفكيك عصابة مختصة في سرقة الدراجات النارية يقودها ""عمر المكسيك""",25 مارس
درك الجلفة يضع حدا لشبكة إجرامية ويحجز كيف وبنادق صيد,25 مارس
8 ضحايا في حادث مرور بغليزان,25 مارس
وفاة 6 أشخاص في الحوادث خلال يوم!,25 مارس
ورشة تنعدم فيها النظافة.. إتلاف كمية من حلوى العيد بالشلف,25 مارس
3 سنوات حبسا لتاجر باع اللحم المستورد بسعر اللحم المحلي,25 مارس
"عامان حبسا لشباب خططوا ""للحرقة"" ودفعوا 50 مليون لـ"" وليد الروكان"" بزرالدة",25 مارس
الوادي: إحباط تهريب كمية معتبرة من المواد الغذائية المدعمة,25 مارس
إحباط محاولة تسويق 8 قناطير لحوم بيضاء فاسدة بوهران,25 مارس
ثاني اعتداء في ظرف أسبوع!,25 مارس
وفاة إمرأة سقطت من الطابق السابع بقسنطينة!,25 مارس
أمواج عالية في هذه السواحل اليوم,25 مارس
أمطار رعدية ورياح قوية على هذه الولايات,25 مارس
الحماية المدنية: لا خسائر بشرية في حريق مصنع سطيف,25 مارس
7 جرحى في انقلاب سيارة بسيدي بلعباس,25 مارس
إصابة 6 أشخاص في حادث مرور بين تيارت وملاكو,25 مارس
سطيف.. حريق داخل مطاحن الهضاب,25 مارس
قسنطينة: جريحان في حادث اصطدام دراجة نارية بسيارة في حامة بوزيان,25 مارس
"مجددًا.. أعمال تخريب تستهدف حافلات ""إيتوزا"" بالعاصمة",24 مارس
بومرداس.. حريق بابتدائية وسط حي 1414 عدل في حلايمية,24 مارس
غليزان.. حجز وإتلاف 77 كلغ من الحلويات بسبب غياب النظافة,24 مارس
تلمسان.. وفاة قاصر في اصطدام بين سيارة ودراجة نارية,24 مارس
الجلفة.. حجز أزيد من 4 آلاف قرص مهلوس مُخبّأ داخل سيارة,24 مارس
تيسمسيلت.. إصابة 9 أشخاص في حادث اصطدام بين سيارتين,24 مارس
الشلف: وفاة أربعيني بصعقة كهربائية في أشغال مسكن عائلي بتلعصة,24 مارس
"بجاية: الوالي يأمر بتسريع وتيرة أشغال محطة تحلية مياه البحر ""تيغرمت""",24 مارس
وهران.. حجز بضائع تجارية حاول مسافر تمريرها عبر رحلة قادمة من فرنسا,24 مارس
جمارك.. حجز أكثر من 31 ألف قرص مهلوس وتوقيف 5 أشخاص بسطيف,24 مارس
تنظيم إرهابي ينشط بالخارج وراء مقتل قاصر وطالب جامعي والتنكيل بهما بوهران,24 مارس
سطيف: توقيف شيخ يُروّج المهلوسات,24 مارس
مترو الجزائر: إغلاق جزئي لمداخل محطة الحراش,24 مارس
حجز أزيد من 120 قنطاراً من اللحوم والأحشاء المجمدة غير صالحة للاستهلاك البشري,24 مارس
"حجز أكثر من 191 ألف ""محيرقة"" وألعاب نارية باولاد جلال",24 مارس
عين تموشنت: توقيف شخص مشتبه به في قضية القتل العمدي,24 مارس
البيض: توقيف جماعة إجرامية سطت على مركز بريدي ببوقطب,24 مارس
شرطة تلمسان تحجز كمية معتبرة من المخدرات,24 مارس
تسمم 3 نساء بالغاز في جيجل,24 مارس
صور صادمة.. إصابة إمرأة في إنفجار للغاز بالمسيلة!,24 مارس
إصابة 10 أشخاص في حادث مرور ببرج بوعريريج,24 مارس
رياح هوجاء وأمواج عاتية تضرب هذه السواحل,24 مارس
قتيل وجريحان في انقلاب سيارة بتيارت,24 مارس
قسنطينة .. إخماد حريق بغابة جبل الوحش,24 مارس
حادث اصطدام تسلسلي لـ 3 سيارات بالشريعة,24 مارس
مستغانم.. 9 جرحى في حادث اصطدام بين سيارتين,23 مارس
ميلة.. وفاة شخص وإصابة آخر في انقلاب سيارة,23 مارس
هزة أرضية تضرب مستغانم.. هذه شدتها,23 مارس
"إلتماس 5 سنوات حبسا لستيني راسل ""ترامب"" لتدويل قضيته العالقة في القضاء",23 مارس
"الإطاحة بعصابة ""بيتبول"" المختصة في ترويج المخدرات بالشراقة",23 مارس
إيداع سارق أموال المصلّين في رمضان حبس الحراش,23 مارس
خاتم ذهبي في المطار يورّط ستّيني يتورط قضائيا,23 مارس
3 سنوات حبسا لمُسن إنتحل صفة والده المتوفي للتملص من أمر بالقبض بالخرايسية,23 مارس
بقيمة 11 مليار.. الإطاحة بشبكة تُهرّب السجائر والمفرقعات الأجنبية بتوقرت,23 مارس
إلتماس 3 سنوات حبسا لتاجر يبيع اللحم المستورد بالسعر المحلي بسوق اهراس,23 مارس
مستغانم: تفكيك عصابة مختصة في تزوير النقود وحجز 1358 قرص مهلوس,23 مارس
الجمارك تحبط تهريب 3782 قرص مهلوس بسيدي بلعباس,23 مارس
"بعد 9 أيام من إختفائه.. العثور على الطفل ""عبد الغني"" جثة بخميس الخشنة",23 مارس
شرطة العاصمة تطيح بجماعة إجرامية مختصة في سرقة لواحق المركبات,23 مارس
تامنغست: حجز أكثر من 30 طن من المواد الغذائية المدعمة!,23 مارس
وهران: توقيف 14 مروّجا للمخدرات وحجز 6 كلغ و2430 قرص صاروخ,23 مارس
وفاة شخص في حادث مرور بالمنيعة,23 مارس
وفاة 6 أشخاص في الحوادث خلال 24 ساعة,23 مارس
أم البواقي.. توقيف عشريني لتورطه في الاعتداء الجنسي على قصر,23 مارس
إحباط محاولة تهريب 128100 قرص مهلوس وسجائر أجنبية بورقلة,23 مارس
وفاة شخصين في حادث مرور بقسنطينة,23 مارس
رياح هوجاء وأمواج عاتية تضرب هذه السواحل,23 مارس
قسنطينة.. قتيل وجريح في اصطدام بين شاحنتين,23 مارس
قتيل و4 جرحى في حادث مرور بالعاصمة,23 مارس
هزة أرضية تضرب منطقة ميهوب بولاية المدية,23 مارس
عين الدفلى.. 5 جرحى في اصطدام بين سيارتين,23 مارس
توقف حركة الترامواي بهذه المحطات بالعاصمة,22 مارس
وفاة شخص وإصابة آخر في حادث بالمغير,22 مارس
بوغالي يعزي في وفاة جمال مناد,22 مارس
وفاة ستيني في حادث سقوط بسطيف,22 مارس
قسنطينة.. إخماد حريق مهول اندلع بمستودع لتوزيع الخضر والفواكه,22 مارس
العاصمة.. إصابة 3 نساء في حادث دهس بباب الزوار,22 مارس
"وفاة شخص في حريق  ""شالي"" ببومرداس",22 مارس
قسنطينة.. 6 جرحى في اصطدام بين سيارتين,22 مارس
المدية.. تسمم شخصين بغاز أحادي أكسيد الكربون في تابلاط,21 مارس
أدرار .. جريحان في اصطدام سيارة بدراجة هوائية,21 مارس
المسيلة.. إصابة 4 أشخاص في حادث اصطدام بين سيارتين,21 مارس
البليدة.. توقيف 10 أشخاص بحوزتهم مخدرات وأسلحة,21 مارس
المسيلة: إصابة 7 أشخاص في حادث انقلاب سيارة بحمام الضلعة,21 مارس
غليزان.. الإطاحة بشبكة لنقل وترويج المخدرات عبر الطريق السيار شرق-غرب,21 مارس
شرطة تلمسان تحجز كمية من المخدرات والمؤثرات العقلية,21 مارس
انتشال جثة طفل غرق بشاطئ زيغواط في بجاية,21 مارس
العاصمة: تنظيم إفطار جماعي اليوم بالبريد المركزي,21 مارس
إصابة 4 أشخاص في حادث مرور بالمدية,21 مارس
إصابة 7 أشخاص في حادث مرور مروع بولاية الشلف,21 مارس
إندلاع حريق داخل حظيرة في سكيكدة,21 مارس
المسيلة: إيداع 3 متهمين الحبس نصبوا على ضحاياهم مقابل رشاوى معتبرة,21 مارس
تعديل برنامج توزيع الماء بهذه الأحياء في العاصمة,21 مارس
الجلفة: إتلاف 691 هيكل للحم خروف مستورد,21 مارس
بجاية.. شبكة النقل الحضري تتدعم بـ 10 حافلات جديدة,21 مارس
"""إيتوزا"" .. تعرّض حافلة للرشق بالحجارة من طرف مجموعة من المراهقين",20 مارس
سطيف: الوالي يلغي قرعة ترحيل تجار السوق المغطاة بالعلمة,20 مارس
حريق داخل حديقة الياسمين ببلدية غليزان,20 مارس
طعنة قاتلة تنهي حياة كهل بعنابة... والجاني في قبضة الدرك,20 مارس
"المسيلة: إحباط ترويج أكثر من 12 ألف ""محيرقة"" ببوسعادة",20 مارس
"البليدة: توقيف شاب نشر محتوى تحريضياً عبر ""فايسبوك",20 مارس
مرقي عقاري متهم بإصدار شيك بـ 3.5 مليار سنتيم بدون رصيد بالشراقة,20 مارس
رياح هوجاء وأمواج عاتية تضرب 9 ولايات,20 مارس
غليزان: الإطاحة بشبكة مختصة في سرقة الدراجات النارية بجديوية,20 مارس
نشرية خاصة تحذر من هبوب رياح قوية تصل سرعتها إلى 90 كلم / ساعة,20 مارس
خلال شهر رمضان..مصالح أمن ولاية الجزائر تطيح بمروجي المخدرات,20 مارس
من بينهم رضيع ..تسمم 5 أشخاص  بغاز أحادي أكسيد الكربون,20 مارس
جيجل.. تسمّم امرأتين بالغاز في زيامة منصورية,20 مارس
برج بوعريريج: حريق في عدّادات كهربائية يخلّف إصابة 16 شخصًا,20 مارس
المدية.. 4 جرحى في اصطدام بين سيارة وشاحنة,19 مارس
بجاية: إصابة 5 أشخاص في اصطدام سيارتين بطريق أنفاق خراطة,19 مارس
عنابة .. توقيف 4 أشخاص اعتدوا على عائلة بالأسلحة البيضاء,19 مارس
سوق أهراس: إيداع تاجر يبيع اللحم المستورد بسعر المحلي,19 مارس
رئيس الجمعية الوطنية للصُّم متهم بجمع التبرعات من هيئات أجنبية بدون ترخيص,19 مارس
تيارت: الدرك يكشف ورشة سرية لصناعة الشمة المقلّدة ويحجز 13 طنا,19 مارس
وفاة شخص و6 جرحى في انفجار بقالمة,19 مارس
هزة أرضية تضرب المدية.. هذه شدتها,19 مارس
العاصمة: إتلاف أكثر من 128 كلغ من اللحوم المستوردة,19 مارس
محاولة تهريب 11 ألف لتر من الوقود بأدرار,19 مارس
6 أشهر حبسا لشاب حرّض كلبا شرسا على جاره ببابا حسن,19 مارس
رحلات ليلية لخطوط ضاحية الجزائر ابتداءً من الغد,19 مارس
الأمن يُحذر من سارقة المجوهرات,19 مارس
النعامة.. إحباط إدخال أزيد من 72 ألف قرص مهلوس على الحدود الغربية,19 مارس
رياح قوية وأمواج عالية في هذه السواحل اليوم,19 مارس
قتيل وجريح في انقلاب دراجة نارية بتمنراست,19 مارس
البويرة.. وفاة شخص وإصابة آخر في حادث دهس,19 مارس
الوادي.. قتيلان في اصطدام بين شاحنتين بالحمراية,19 مارس
سعيدة: الدرك يسترجع 22 رأسا من المواشي المسروقة ويوقف 4 أشخاص,18 مارس
سكيكدة.. 5 جرحى في انحراف وانقلاب سيارة,18 مارس
الشهيد مختار سعيود.. بعد عقود من استشهاده، الأدلة الجنائية تؤكد هويته وتعيد اسمه إلى ذاكرة ميلة,18 مارس
توقيف محتال يتزّعم تعرضه لحادث دهس للنصب على سائقي المركبات,18 مارس
وفاة شخص في حادث مُروع بتمنراست,18 مارس
معسكر: الإطاحة بـ11 شخصا وحجز 85 كلغ من المخدرات قادمة من المغرب,18 مارس
توقف حركة المرور إثر حادث تسلسلي خطير بطريق الدويرة اتجاه زرالدة,18 مارس
إخماد حريق إندلع ببناية سكنية في العاصمة,18 مارس
الحماية المدنية بالمدية تُصدر بيانا حول الهزة الأرضية,18 مارس
شعر بها سكان 6 ولايات.. هزة أرضية بقوة 5.1 تضرب المدية,18 مارس
الحماية المدنية: لم يتم تسجيل إصابات أو خسائر إثر الهزة الأرضية,18 مارس
العاصمة: إندلاع حريق في بناية سكنية بباب الواد,18 مارس
بجاية.. الجمارك تحبط تمرير أزيد من 87 ألف قرص مهلوس,18 مارس
رياح قوية وأمواج عالية في هذه السواحل اليوم,18 مارس
أمطار رعدية على 13 ولاية اليوم,18 مارس
اندلاع حريق مهول داخل حظيرة سيارات مديرية الفلاحة بسوق أهراس,18 مارس
إليزي.. قتيل و3 جرحى في حادث انقلاب سيارة,18 مارس
البليدة: توقيف 6 أشخاص ببوفاريك وحجز أزيد من 4 آلاف قرص مهلوس وأسلحة بيضاء,18 مارس
قسنطينة.. احتراق بيوت بلاستيكية لتربيه الدواجن,18 مارس
4 قتلى في حوادث مرور بخراطة، ثالة حمزة، بني جليل، وبجاية,18 مارس
درك الشلف يُتلف 223 برميلاً لمخلّلات وزيتون غير صالحة للاستهلاك,17 مارس
برج بوعريريج.. حجز 600 كلغ من المواد الغذائية الفاسدة,17 مارس
بجاية.. وفاة شخصين في حادثي مرور منفصلين بخراطة وثالة حمزة,17 مارس
غليزان.. الإطاحة بشبكة مختصة في المتاجرة بالكوكايين,17 مارس
وهران.. 15 سنة سجناً نافذاً لتاجر جملة تورّط بالمضاربة في الموز,17 مارس
سطيف.. قتيلان و3 جرحى في اصطدام بين 3سيارات,17 مارس
الطارف: حجز قرابة 2000 وحدة من المواد التبغيّة وتوقيف مهرّب,17 مارس
انتشال جثة طفل غريق من مجمع مائي بقرية برج جعفر بسيدي بلعباس,17 مارس
الشلف : حجز كمية معتبرة من قلب اللوز بورشة تنعدم فيها النظافة,17 مارس
حجز أكثر من 150 كلغ من اللحوم الفاسدة بالخبانة في المسيلة,17 مارس
المسيلة: الدرك الوطني يوقف متهماً بانتحال صفة ويدعو الضحايا للتبليغ,17 مارس
حجز 3 قناطير لحوم حمراء وبيضاء فاسدة بوهران,17 مارس
"الشرطة تحجز 4 آلاف لتر من ""الشاربات"" بعين الدفلى",17 مارس
المسيلة: الدرك يوقف شخصا إنتحل صفة إطار في الدولة,17 مارس
إلتماس 7 سنوات حبسا لقابض مكتب بريد الجمهورية عقب اكتشاف ثغرة مالية,17 مارس
أمطار رعدية على هذه الولايات اليوم,17 مارس
الطارف: الإطاحة بعصابة سرقة الكوابل النحاسية ببوثلجة,17 مارس
داس الشلف : خلال 15 يوما .... توفير زهاء 500 ألف وجبة بمطاعم الرحمة,16 مارس
درك عنابة يوقف شخصين قاما بالإعتداء على أحد مستعملي الطريق,16 مارس
قسنطينة.. 8 جرحى في إصطدام بين سيارتين بحامة بوزيان,16 مارس
تيسمسيلت.. وفاة شخص في حادث دهس سيارة,16 مارس
هزة أرضية تضرب الشلف,16 مارس
بجاية: توقف رجل و إمرأة تورطا في السرقة تحت طائلة التهديد بمالبو,16 مارس
